id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
2542,EKCH,large_airport,"Copenhagen Kastrup Airport",55.617900848389,12.656000137329,17,EU,Denmark,DK,"Capital Region",DK-84,84,Copenhagen,1,EKCH,CPH,,http://www.cph.dk/en/,https://en.wikipedia.org/wiki/Copenhagen_Airport,"København, Malmö",1020075,2015-09-19T15:12:02+00:00
2541,EKBI,large_airport,"Billund Airport",55.740496,9.160452,247,EU,Denmark,DK,"South Denmark",DK-83,83,Billund,1,EKBI,BLL,,http://www.billund-airport.dk/?sc_lang=en,https://en.wikipedia.org/wiki/Billund_Airport,,1275,2023-12-04T15:48:16+00:00
2562,EKYT,medium_airport,"Aalborg Airport",57.094763,9.84993,10,EU,Denmark,DK,"North Jutland",DK-81,81,Aalborg,1,EKYT,AAL,,http://www.aal.dk,https://en.wikipedia.org/wiki/Aalborg_Airport,,750,2023-12-04T15:44:41+00:00
2540,EKAH,medium_airport,"Aarhus Airport",56.303331,10.618286,82,EU,Denmark,DK,"Central Jutland",DK-82,82,Aarhus,1,EKAH,AAR,,http://www.aar.dk/default.asp?id=87,https://en.wikipedia.org/wiki/Aarhus_Airport,,750,2021-10-06T16:42:48+00:00
2551,EKRK,medium_airport,"Copenhagen Roskilde Airport",55.585602,12.1314,146,EU,Denmark,DK,Zealand,DK-85,85,Copenhagen,1,EKRK,RKE,,,https://en.wikipedia.org/wiki/Roskilde_Airport,København,575,2024-04-06T20:51:02+00:00
2552,EKRN,medium_airport,"Bornholm Airport",55.063301,14.7596,52,EU,Denmark,DK,"Capital Region",DK-84,84,Rønne,1,EKRN,RNN,,http://www.bornholms-lufthavn.dk/en/,https://en.wikipedia.org/wiki/Bornholm_Airport,Roenne,750,2024-06-10T12:19:00+00:00
2553,EKSB,medium_airport,"Sønderborg Airport",54.96440124511719,9.791729927062988,24,EU,Denmark,DK,"South Denmark",DK-83,83,Sønderborg,1,EKSB,SGD,,,https://en.wikipedia.org/wiki/S%C3%B8nderborg_Airport,"Sonderborg, Soenderborg",750,2008-07-13T07:23:11+00:00
2546,EKKA,medium_airport,"Karup Airport",56.29750061035156,9.124629974365234,170,EU,Denmark,DK,"Central Jutland",DK-82,82,Karup,1,EKKA,KRP,,,https://en.wikipedia.org/wiki/Karup_Airport,,750,2008-07-13T07:16:37+00:00
2549,EKOD,medium_airport,"Odense Airport",55.47669982910156,10.330900192260742,56,EU,Denmark,DK,"South Denmark",DK-83,83,Odense,1,EKOD,ODE,,,https://en.wikipedia.org/wiki/Odense_Airport,,750,2008-07-13T07:21:05+00:00
2548,EKMB,medium_airport,"Lolland Falster Maribo Airport",54.699299,11.4401,16,EU,Denmark,DK,Zealand,DK-85,85,"Lolland Falster / Maribo",0,EKMB,MRW,,http://www.lollandfalsterairport.dk/,https://en.wikipedia.org/wiki/Lolland_Falster_Airport,,250,2020-04-18T13:56:13+00:00
2543,EKEB,medium_airport,"Esbjerg Airport",55.525902,8.5534,97,EU,Denmark,DK,"South Denmark",DK-83,83,Esbjerg,1,EKEB,EBJ,,http://www.esbjerg-lufthavn.dk/en/,https://en.wikipedia.org/wiki/Esbjerg_Airport,"offshore, North Sea",750,2018-02-13T13:02:51+00:00
